City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Coro,VE,11.4045,-69.6734,73.45,84,3,11.97
Beïnamar,TD,8.6698,15.3813,66.74,21,100,3.18
Catió,GW,11.2833,-15.25,70.88,87,74,3.65
Vila Franca do Campo,PT,37.7167,-25.4333,59.0,77,40,19.57
Shibetsu,JP,43.659,145.132,24.8,74,40,4.61
Abdulino,RU,53.7,53.6667,4.77,93,100,10.71
Sunnyside,US,46.3237,-120.0087,34.0,47,90,6.13
Bétaré Oya,CM,5.6,14.0833,63.19,28,20,1.28
Key Biscayne,US,25.6937,-80.1628,75.2,78,40,10.36
Mitsamiouli,KM,-11.3847,43.2844,82.49,74,100,14.85
Yangi Marg`ilon,UZ,40.4272,71.7189,41.0,81,54,2.3
Kapiri Mposhi,ZM,-13.9652,28.6809,65.43,97,100,1.5
Bandarbeyla,SO,9.4942,50.8122,72.84,78,100,15.82
Tahe,CN,52.3333,124.7333,10.65,93,98,3.94
Anito,PH,12.4497,125.2886,80.37,86,93,10.83
Matata,NZ,-37.8833,176.75,73.0,71,38,1.01
Churapcha,RU,62.0025,132.4325,-4.94,90,100,7.31
Puerto Madryn,AR,-42.7692,-65.0385,70.68,51,0,31.65
Ţahţā,EG,26.7693,31.5021,53.6,54,0,3.44
Hay River,CA,60.8156,-115.7999,-16.6,76,13,5.75
Ubari,LY,26.5921,12.7805,59.43,31,0,6.96
Evanston,US,42.0411,-87.6901,16.0,52,90,10.36
Mbekenyera,TZ,-10.0,38.9833,71.65,96,100,4.21
Eureka,US,40.8021,-124.1637,51.01,82,63,2.95
Cap Malheureux,MU,-19.9842,57.6142,79.0,73,15,5.99
Horta,PT,38.5333,-28.6333,57.76,69,56,33.64
Ilulissat,GL,69.2167,-51.1,10.4,67,20,10.36
Tual,ID,-5.6667,132.75,83.91,77,86,11.9
Lys'va,RU,58.1086,57.8053,-18.15,87,14,0.92
Goba,ET,7.0167,39.9833,47.3,81,99,2.33
Raudeberg,NO,61.9875,5.1352,21.99,67,0,6.85
Galle,LK,6.0367,80.217,73.65,85,46,4.88
Negombo,LK,7.2083,79.8358,69.8,78,0,6.91
Kabo,CF,7.6994,18.629,67.8,23,2,2.68
Fort-Shevchenko,KZ,44.5086,50.263,44.22,69,100,13.02
Klaksvík,FO,62.2266,-6.589,24.8,86,42,1.14
Padang,ID,-0.9492,100.3543,80.6,74,20,1.14
Berlevåg,NO,70.8578,29.0864,22.44,87,100,8.99
Bay Village,US,41.4848,-81.9221,19.99,86,90,10.36
Henties Bay,NA,-22.116,14.2845,68.0,90,99,6.51
Winneba,GH,5.3511,-0.6231,82.4,89,40,13.8
Northam,GB,51.0333,-4.2167,28.99,79,100,5.01
Metro,ID,-5.1131,105.3067,81.43,79,83,3.36
Laguna,US,38.421,-121.4238,66.2,52,1,6.91
Puerto Carreño,CO,6.189,-67.4859,83.26,45,64,12.91
Zhuhai,CN,22.2769,113.5678,62.6,82,40,13.8
Ulan-Ude,RU,51.8261,107.6098,15.8,53,20,11.18
Victoria Point,AU,-27.5833,153.3,80.01,59,66,5.99
Harper,LR,4.375,-7.7169,78.49,88,0,5.46
Lamu,KE,-2.2717,40.902,78.8,83,75,11.45
Newcastle,AU,-32.9272,151.7765,78.01,50,20,6.91
Urengoy,RU,65.9667,78.3667,-23.21,86,100,6.42
Buluang,PH,13.3068,123.3425,83.21,74,0,5.91
Atambua,ID,-9.1061,124.8925,81.36,77,99,3.58
Pedra Branca,BR,-5.4542,-39.7172,73.09,81,99,5.06
Hamilton,US,39.1834,-84.5333,21.99,86,90,10.36
Yakima,US,46.4665,-120.6678,37.0,41,90,6.91
Bo`ka,UZ,40.8108,69.1986,50.0,76,75,6.91
Yenangyaung,MM,20.4667,94.8833,70.14,37,0,1.41
Sīkar,IN,27.6167,75.15,53.31,43,0,3.15
Turan,VN,16.0678,108.2208,71.6,60,20,3.44
Iberia,US,29.9502,-91.7507,71.6,94,90,5.75
Bukama,CD,-9.2,25.85,68.29,94,100,0.45
Puerto Escondido,MX,15.85,-97.0667,80.6,74,1,6.55
Beringovskiy,RU,63.05,179.3167,-21.41,86,75,14.5
Adrar,MR,20.5022,-10.0711,62.94,23,0,9.28
Puerto del Rosario,ES,28.5004,-13.8627,64.4,77,90,8.05
Suoyarvi,RU,62.0833,32.35,-5.64,92,83,2.64
Morant Bay,JM,17.8815,-76.4093,80.6,74,40,3.44
Namatanai,PG,-3.6667,152.4333,83.03,76,81,6.15
Ugoofaaru,MV,5.6667,73.0,81.05,63,41,6.2
Lubumbashi,CD,-11.6609,27.4794,64.31,97,100,5.95
Mulbāgal,IN,13.1667,78.4,57.52,91,32,2.35
Torrington,US,41.8007,-73.1212,21.0,77,100,1.14
Mongo,TD,12.1844,18.693,63.43,26,26,4.63
Ponazyrevo,RU,58.3578,46.3142,-7.69,91,89,6.15
Tūkrah,LY,32.5341,20.5791,62.06,33,0,16.73
Khani,GE,41.9563,42.9566,50.0,76,20,3.44
Mountain Home,US,43.133,-115.6912,46.4,31,1,6.91
Kangaatsiaq,GL,68.3065,-53.4641,12.69,95,28,6.17
Diamantina,BR,-18.2494,-43.6003,61.03,99,58,5.28
Roald,NO,62.5833,6.1333,23.0,54,0,16.11
Lovozero,RU,68.005,35.0117,8.26,93,89,10.45
Korla,CN,41.7597,86.1469,34.12,75,89,7.87
Vardø,NO,70.3705,31.1107,24.26,87,100,13.33
Kiryat Gat,IL,31.61,34.7642,55.0,89,0,5.14
Kuremaa,EE,58.7353,26.5383,10.0,85,100,6.91
Smithers,CA,54.7804,-127.1743,-0.4,50,1,3.44
Benjamin Constant,BR,-4.3831,-70.0311,78.8,100,0,2.06
Garoowe,SO,8.4054,48.4845,61.77,66,94,6.08
Jieshi,CN,22.8134,115.8257,62.01,87,21,1.01
Nemuro,JP,43.3236,145.575,24.8,74,40,4.61
Turiaçu,BR,-1.6633,-45.3717,77.29,86,100,4.52
Pringsewu,ID,-5.3582,104.9744,82.31,73,32,1.57
Suicheng,CN,33.8963,117.9331,49.82,68,100,7.94
Kaoma,ZM,-14.7833,24.8,66.06,97,100,3.15
Takoradze,GH,4.8845,-1.7554,79.41,87,1,7.74
Flint,US,43.0125,-83.6875,17.6,62,90,5.75
Palmer,US,42.1584,-72.3287,17.01,62,75,4.61
Severo-Kuril'sk,RU,50.6789,156.125,28.0,91,100,19.55
Verkhoyansk,RU,67.5447,133.385,-13.54,80,87,1.39
Port Hardy,CA,50.6996,-127.4199,35.6,55,20,13.8
Mishkino,RU,55.3389,63.9175,-10.95,90,77,6.78
Sørland,NO,67.667,12.6934,32.32,89,89,11.83
Lexington Park,US,38.2668,-76.4538,37.4,87,90,9.22
Yārāda,IN,17.65,83.2667,64.4,94,28,2.3
Anchorage,US,61.2181,-149.9003,18.0,67,75,8.05
Thio,NC,-21.6167,166.2167,80.6,61,90,5.75
Malbork,PL,54.0359,19.0266,14.0,100,57,3.42
Viedma,AR,-40.8135,-62.9967,66.0,72,9,19.06
Bulgan,MN,48.8125,103.5347,12.78,94,74,1.45
Yar-Sale,RU,66.8333,70.8333,-22.09,85,95,14.25
Lüshunkou,CN,38.8,121.2667,33.8,100,40,6.71
Richards Bay,ZA,-28.783,32.0377,75.6,82,96,3.02
Mulegé,MX,26.8833,-111.9833,60.6,65,0,1.41
Vryheid,ZA,-27.7695,30.7917,61.03,95,72,0.78
Lipari,IT,38.4674,14.954,57.99,77,100,33.42
Manavālakurichi,IN,8.1333,77.3,75.2,57,20,8.5
Lagoa,PT,39.05,-27.9833,56.53,69,40,38.32
Gotenba,JP,35.3,138.9333,46.4,23,20,17.27
Huangnihe,CN,43.5583,128.0239,26.47,94,57,3.67
Taitung City,TW,22.7583,121.1444,69.8,100,75,4.61
Waingapu,ID,-9.6567,120.2641,85.35,66,83,9.22
Lumphat,KH,13.4878,106.9816,78.26,60,100,5.5
Constitución,CL,-35.3333,-72.4167,61.9,91,28,4.21
Jaru,BR,-10.4389,-62.4664,72.05,96,100,3.13
Kichmengskiy Gorodok,RU,59.9816,45.7854,-12.05,89,96,3.89
Koumac,NC,-20.5667,164.2833,81.21,67,28,11.54
Romanovo,RU,52.6182,81.2271,-25.44,86,61,4.32
